# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Sep  4 14:20:46 2025
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
# COLUMN sy_dist:        Distance [pc]
#
pl_name,hostname,pl_orbsmax,pl_rade,pl_bmasse,pl_dens,pl_orbeccen,pl_insol,pl_eqt,st_teff,st_rad,st_mass,st_lum,sy_dist
HD 76700 b,HD 76700,0.0500000000,9.60000000,66.74430000,0.415000,0.090000,,,5644.00,1.370000,0.990000,0.25719,60.88310000
HD 76920 b,HD 76920,1.0910000000,13.10000000,994.80291391,2.430000,0.878200,,,4664.00,8.330000,1.000000,1.46982,184.03100000
HD 77338 b,HD 77338,0.0600000000,4.12000000,15.90000000,1.250000,0.090000,,,5341.00,0.970000,1.370000,-0.25960,45.93500000
HD 77946 b,HD 77946,0.0730000000,2.89646124,10.90000000,2.440000,0.211000,413.1008,1128.86,6007.00,1.317400,1.197300,0.30878,99.45100000
HD 79181 b,HD 79181,0.9000000000,14.10000000,203.41018048,0.399000,0.259000,,,4862.00,11.060000,1.280000,1.78965,103.33500000
HD 7924 b,HD 7924,0.0600000000,2.40000000,6.35660000,2.530000,0.060000,113.7000,825.90,5131.00,0.780000,0.650000,-0.40636,16.99220000
HD 7924 c,HD 7924,0.1134000000,2.72000000,7.86000000,2.150000,0.098000,28.3500,583.60,5075.00,0.782100,0.832000,-0.40636,16.99220000
HD 7924 d,HD 7924,0.1551000000,2.42000000,6.44000000,2.500000,0.210000,15.1700,499.00,5075.00,0.782100,0.832000,-0.40636,16.99220000
HD 79498 b,HD 79498,2.9800000000,13.60000000,425.89220000,0.930000,0.575000,,,5748.00,1.050000,1.080000,0.03000,48.94890000
HD 80606 b,HD 80606,0.4565000000,11.99363000,1392.09540000,5.080000,0.930000,,405.00,5561.00,1.040000,1.150000,-0.00237,66.47110000
HD 80653 b,HD 80653,0.0166100000,1.61300000,5.72000000,7.470000,0.000000,6130.0000,2463.00,5959.00,1.220000,1.180000,0.24000,109.86000000
HD 80869 b,HD 80869,2.9050000000,12.80000000,1609.80088146,4.220000,0.924000,0.1420,203.20,5837.00,1.062000,1.060000,0.39977,85.39510000
HD 80883 b,HD 80883,6.4620000000,12.80000000,1748.05623850,4.580000,0.203000,,,5177.91,0.814842,0.880000,-0.36654,34.60110000
HD 80913 b,HD 80913,9.9500000000,12.00000000,7505.20000290,23.900000,0.313000,,,6013.24,1.654200,1.110000,0.50831,61.36030000
HD 81040 b,HD 81040,1.9460000000,12.60000000,2393.24790471,6.570000,0.527000,,,5755.00,0.910000,0.962000,-0.07676,34.43410000
HD 81688 b,HD 81688,0.6480000000,13.50000000,525.68818518,1.170000,0.040000,,,4797.00,11.130000,1.070000,1.78032,85.71830000
HD 81817 b,HD 81817,3.2330000000,12.00000000,7668.56380410,24.400000,0.097000,,,4140.00,83.800000,4.300000,3.26076,269.12600000
HD 81817 c,HD 81817,2.3250000000,12.00000000,7185.78245386,22.900000,0.095000,,,4140.00,83.800000,4.300000,3.26076,269.12600000
HD 82886 b,HD 82886,1.5800000000,13.30000000,740.54390000,1.730000,0.070000,,,4953.00,5.260000,2.530000,1.14301,127.06100000
HD 82943 b,HD 82943,1.1830600000,13.50000000,534.25000000,1.190000,0.162000,,,5935.00,1.182600,1.080000,0.19405,27.59020000
HD 82943 c,HD 82943,0.7434500000,13.40000000,622.60300000,1.420000,0.366300,,,5935.00,1.182600,1.080000,0.19405,27.59020000
HD 8326 b,HD 8326,0.5330000000,9.58000000,66.60000000,0.416000,0.200000,,,4914.00,0.783181,0.800000,-0.49184,30.68620000
HD 83443 b,HD 83443,0.0406000000,14.10000000,127.76701961,0.250000,0.012000,,,5442.00,0.940000,1.000000,-0.10403,40.89910000
HD 83443 c,HD 83443,8.0000000000,13.60000000,476.74261050,1.040000,0.760000,,,5442.00,0.940000,1.000000,-0.10403,40.89910000
HD 8535 b,HD 8535,2.4500000000,14.00000000,216.12440000,0.433000,0.150000,,,6136.00,1.190000,1.130000,0.33266,55.44010000
HD 85390 b,HD 85390,1.3730000000,6.16000000,31.46517000,0.740000,0.500000,,,5186.00,0.800000,0.758000,-0.36653,33.52250000
HD 8574 b,HD 8574,0.7600000000,13.40000000,645.19490000,1.470000,0.300000,,,6064.00,1.380000,1.340000,0.37649,44.82640000
HD 86065 b,HD 86065,15.9470000000,12.50000000,2877.30056857,8.100000,0.219000,,,4927.56,0.780347,0.810000,-0.49020,40.36610000
HD 86081 b,HD 86081,0.0346000000,13.60000000,470.38840000,1.030000,0.011900,,,5939.00,1.460000,1.210000,0.38000,103.93600000
HD 86226 b,HD 86226,2.7300000000,14.30000000,143.02350000,0.269000,0.059000,,176.00,5863.00,1.053000,1.019000,0.07188,45.68300000
HD 86226 c,HD 86226,0.0490000000,2.16000000,7.25000000,3.970000,0.075000,647.9010,1311.00,5863.00,1.053000,1.019000,0.07188,45.68300000
HD 86264 b,HD 86264,2.7630000000,12.50000000,3117.26101586,8.770000,0.821000,,,6210.00,1.880000,1.260000,0.66000,67.81070000
HD 86728 b,HD 86728,0.1916000000,3.03000000,9.43000000,1.860000,0.067000,,,5610.00,1.237000,0.967000,0.13513,14.92020000
HD 8673 b,HD 8673,2.9700000000,12.30000000,4210.59073594,12.400000,0.730000,,,6389.05,1.502250,1.280000,0.52992,37.86190000
HD 86950 b,HD 86950,2.7200000000,13.00000000,1144.18800000,2.860000,0.170000,,,4805.00,8.800000,1.660000,1.55991,209.83900000
HD 87646 b,HD 87646,0.1170000000,12.40000000,3941.09200000,11.400000,0.050000,,,5770.00,1.550000,1.120000,0.95972,73.58352000
HD 87816 b,HD 87816,1.6180000000,12.70000000,2142.16346318,5.750000,0.780000,,,4989.00,9.000000,2.410000,1.65514,133.23300000
HD 87816 c,HD 87816,10.1400000000,12.40000000,3877.50656540,11.200000,0.190000,,,4989.00,9.000000,2.410000,1.65514,133.23300000
HD 87883 b,HD 87883,4.0550000000,12.80000000,1719.13385346,4.500000,0.707000,,,4980.00,0.798557,0.810000,-0.47108,18.29120000
HD 88072 b,HD 88072,13.8950000000,12.60000000,2511.79790052,6.900000,0.156000,,,5785.33,1.032000,1.040000,0.03137,35.90980000
HD 88133 b,HD 88133,0.0479000000,13.80000000,324.18660000,0.678000,0.031000,,,5392.00,2.200000,1.260000,0.49678,73.61230000
HD 88986 b,HD 88986,0.5800000000,2.49000000,17.20000000,6.100000,0.240000,,460.00,5861.00,1.543000,1.250000,0.39340,33.26730000
HD 89307 b,HD 89307,3.2700000000,13.40000000,642.01338214,1.470000,0.200000,,,5955.00,1.100000,1.270000,0.13131,32.01040000
HD 89345 b,HD 89345,0.1066000000,7.39794000,34.96130000,0.471000,0.220000,275.6427,1089.00,5576.00,1.747000,1.157000,0.42488,132.34500000
HD 89744 b,HD 89744,0.9170000000,12.60000000,2653.88050000,7.290000,0.677000,,,6291.00,2.132570,1.860000,0.79579,38.63640000
HD 89839 b,HD 89839,4.7610000000,12.90000000,1592.32031907,4.080000,0.187000,,,6314.00,1.285880,1.210000,0.37479,57.30630000
HD 90156 b,HD 90156,0.2500000000,4.43000000,17.98000000,1.140000,0.310000,,,5599.00,0.920286,0.840000,-0.14267,21.94960000
HD 9174 b,HD 9174,2.2000000000,13.70000000,352.79130000,0.754000,0.120000,,,5577.00,1.670000,1.030000,0.38202,81.48930000
HD 92788 b,HD 92788,0.9700000000,13.00000000,1195.04080000,2.990000,0.350000,,,5744.00,1.140000,1.150000,0.02000,34.65380000
HD 92788 c,HD 92788,10.5000000000,13.00000000,1166.43610000,2.920000,0.460000,,,5744.00,1.140000,1.150000,0.02000,34.65380000
HD 93083 b,HD 93083,0.4770000000,13.40000000,117.59000000,0.269000,0.140000,,,4995.00,0.850835,0.700000,-0.38722,28.51590000
HD 93351 b,HD 93351,0.0350000000,1.69000000,3.49611248,3.980000,0.549000,,,5408.00,0.911435,0.940000,-0.19371,56.16300000
HD 93351 c,HD 93351,11.1540000000,12.30000000,4154.01727949,12.300000,0.109000,,,5408.00,0.911435,0.940000,-0.19371,56.16300000
HD 93385 b,HD 93385,0.0756000000,1.88000000,4.20000000,3.470000,0.295000,,,5977.00,1.184840,1.040000,0.20683,43.34750000
HD 93385 c,HD 93385,0.1120000000,2.56000000,7.10000000,2.330000,0.200000,,,5977.00,1.184840,1.040000,0.20683,43.34750000
HD 93385 d,HD 93385,0.2565000000,2.89000000,8.70000000,1.980000,0.090000,,,5977.00,1.184840,1.040000,0.20683,43.34750000
HD 93963 A b,HD 93963 A,0.0206100000,1.46954368,2.80000000,4.810000,0.000000,2898.0000,1842.23,5908.00,1.031100,1.084400,0.06781,82.34320000
HD 93963 A c,HD 93963 A,0.0472600000,3.11976057,18.40000000,3.310000,0.000000,543.8000,1212.45,5908.00,1.031100,1.084400,0.06781,82.34320000
HD 9446 b,HD 9446,0.1890000000,14.00000000,222.47200000,0.446000,0.200000,,,5793.00,1.000000,1.000000,0.04139,50.35030000
HD 9446 c,HD 9446,0.6540000000,13.40000000,578.42600000,1.320000,0.060000,,,5793.00,1.000000,1.000000,0.04139,50.35030000
HD 94771 b,HD 94771,3.4800000000,14.20000000,169.00000000,0.324000,0.390000,0.2710,,5631.00,1.903000,1.200000,0.51587,57.78070000
HD 94834 b,HD 94834,2.7400000000,13.70000000,400.46580000,0.856000,0.140000,,,4798.00,4.200000,1.110000,0.99301,98.16090000
HD 94890 b,HD 94890,2.0700000000,13.30000000,676.97450691,1.580000,0.220000,,,4867.00,10.710000,1.740000,1.76350,61.70120000
HD 94890 c,HD 94890,4.3300000000,12.50000000,2831.85110637,7.970000,0.050000,,,4867.00,10.710000,1.740000,1.76350,61.70120000
HD 95086 b,HD 95086,55.7000000000,12.90000000,1589.00000000,4.070000,,,1000.00,7595.00,1.486670,1.600000,0.82124,86.22790000
HD 95089 b,HD 95089,1.3600000000,13.70000000,400.46580000,0.856000,0.119000,,,4918.00,5.080000,1.540000,1.13033,136.95700000
HD 95089 c,HD 95089,3.3300000000,13.10000000,1096.51350000,2.680000,0.284000,,,4918.00,5.080000,1.540000,1.13033,136.95700000
HD 95127 b,HD 95127,1.2800000000,12.40000000,3378.53290000,9.740000,0.110000,,,4218.00,41.010000,3.700000,2.28000,676.57900000
HD 95338 b,HD 95338,0.2620000000,3.89000000,42.44000000,3.980000,0.197000,7.4200,385.00,5212.00,0.870000,0.830000,-0.30980,36.99410000
HD 95544 b,HD 95544,3.1660000000,12.80000000,1913.64483855,5.010000,0.049000,0.1000,156.50,5722.00,1.088000,1.010000,0.47797,87.80490000
HD 95735 c,GJ 411,2.9400000000,3.76000000,13.60000000,1.410000,0.132000,,,3719.00,0.368500,0.389900,-1.70997,5.67577300
HD 95872 b,HD 95872,5.1500000000,13.00000000,1188.68420000,2.970000,0.060000,,,5312.00,0.840000,0.700000,-0.24208,72.21950000
HD 96063 b,HD 96063,1.1100000000,13.70000000,403.64410000,0.863000,0.170000,,,5020.00,4.750000,1.370000,1.10380,140.06500000
HD 96127 b,HD 96127,1.4200000000,12.10000000,6661.71680000,20.700000,0.300000,,,3943.00,51.100000,10.940000,2.86000,587.65900000
HD 96167 b,HD 96167,1.3320000000,14.00000000,227.88411000,0.456000,0.685000,,,5733.00,1.940000,1.270000,0.57000,85.30060000
HD 96700 b,HD 96700,0.0777000000,2.93000000,8.90000000,1.940000,0.138000,,,5845.00,1.160000,0.890000,0.13988,25.41110000
HD 96700 c,HD 96700,0.1410000000,1.69000000,3.50000000,3.980000,0.293000,,,5845.00,1.160000,0.890000,0.13988,25.41110000
HD 96700 d,HD 96700,0.4240000000,3.61000000,12.70000000,1.480000,0.270000,,,5845.00,1.160000,0.890000,0.13988,25.41110000
HD 96992 b,HD 96992,1.2400000000,13.70000000,362.32620000,0.774000,0.410000,,,4725.00,7.430000,0.960000,1.47000,396.08200000
HD 97037 b,HD 97037,6.9250000000,12.10000000,6707.76852973,20.800000,0.357000,,,5874.10,1.263560,1.060000,0.23365,32.41300000
HD 97048 b,HD 97048,130.0000000000,13.30000000,794.57500000,1.860000,,,,10000.00,2.250000,2.400000,1.60206,183.85700000
HD 97658 b,HD 97658,0.0805000000,2.12000000,8.30000000,4.800000,0.050000,41.9240,751.00,5212.00,0.728000,0.850000,-0.45469,21.56180000
HD 98219 b,HD 98219,1.2600000000,13.40000000,624.21812000,1.430000,0.079000,,,4925.00,4.600000,1.410000,1.04922,113.70400000
HD 98649 b,HD 98649,6.2970000000,12.60000000,2665.30902110,7.320000,0.841000,,,5759.00,1.010000,1.020000,-0.01412,42.17270000
HD 98736 b,HD 98736,1.8640000000,13.30000000,740.54390000,1.730000,0.226000,,,5271.00,0.930000,0.920000,-0.22000,32.44590000
HD 99109 b,HD 99109,1.1100000000,14.30000000,139.84520000,0.263000,0.090000,,,5282.00,0.980000,0.760000,-0.17178,54.79010000
HD 99283 b,HD 99283,1.0800000000,13.80000000,308.29355479,0.645000,0.200000,,,4886.00,11.210000,1.760000,1.80963,111.09300000
HD 99492 b,HD 99492,0.1200000000,5.44000000,25.50000000,0.870000,0.034000,,,4929.00,0.822539,0.850000,-0.47490,18.20380000
HD 99492 c,HD 99492,,4.42000000,17.90000000,1.140000,0.063000,,,4929.00,0.822539,0.850000,-0.47490,18.20380000
HD 99706 b,HD 99706,1.9800000000,13.70000000,390.93090000,0.835000,0.250000,,,4862.00,5.520000,1.460000,1.18752,146.60000000
HD 99706 c,HD 99706,,12.80000000,1808.45270000,4.740000,0.411000,,,4891.00,5.400000,1.720000,1.18752,146.60000000
HIP 105854 b,HIP 105854,0.8100000000,12.60000000,2606.10000000,7.160000,0.020000,,,4780.00,10.305119,2.100000,1.67000,78.63810000
HIP 107772 b,HIP 107772,0.2430000000,3.64000000,12.90000000,1.470000,0.180000,,,4006.00,0.513922,0.630000,-1.16322,23.64340000
HIP 107773 b,HIP 107773,0.7200000000,13.40000000,629.30340000,1.440000,0.090000,,,4945.00,11.600000,2.420000,1.87000,105.18000000
HIP 109384 b,HIP 109384,1.1340000000,13.50000000,495.81480000,1.110000,0.549000,,,5180.00,0.831075,0.780000,-0.31878,58.95820000
HIP 109600 b,HIP 109600,0.7060000000,13.20000000,851.78440000,2.040000,0.163000,,,5530.00,0.971958,0.870000,-0.07873,66.33610000
HIP 113103 b,HIP 113103,0.0689900000,1.82900000,4.00000000,3.590000,0.170000,,721.00,4930.00,0.742000,0.761000,-0.57629,46.21220000
HIP 113103 c,HIP 113103,0.1047900000,2.40000000,6.35000000,2.520000,0.170000,180.4870,585.00,4930.00,0.742000,0.761000,-0.57629,46.21220000
HIP 114933 b,HIP 114933,2.8400000000,13.40000000,616.58710958,1.410000,0.210000,,,4823.00,5.270000,1.390000,1.13988,101.76600000
HIP 116454 b,HIP 116454,0.0792000000,2.46900000,9.70000000,3.530000,0.215000,51.2858,753.20,5048.00,0.758000,0.800000,-0.47314,62.44910000
HIP 12961 b,HIP 12961,0.2500000000,13.20000000,114.41880000,0.273000,0.170000,,,3901.00,0.650000,0.690000,-1.00302,23.37100000
HIP 14810 b,HIP 14810,0.0696000000,13.00000000,1239.53700000,3.100000,0.143990,,,5544.00,1.070000,1.010000,-0.01000,50.48000000
HIP 14810 c,HIP 14810,0.5490000000,13.60000000,416.35730000,0.910000,0.156600,,,5544.00,1.070000,1.010000,-0.01000,50.48000000
HIP 14810 d,HIP 14810,1.9400000000,14.10000000,187.51970000,0.368000,0.185000,,,5544.00,1.070000,1.010000,-0.01000,50.48000000
HIP 19976 b,HIP 19976,0.2340000000,4.94000000,21.61233168,0.985000,0.304000,,,4316.00,0.772319,0.670000,-0.72939,40.27070000
HIP 21152 b,HIP 21152,17.0000000000,12.00000000,7627.88176800,24.300000,0.360000,,1300.00,6655.00,1.591860,1.400000,0.63565,43.40730000
HIP 29442 c,HD 42813,0.0451800000,1.55100000,4.50000000,6.300000,,451.0000,1123.00,5289.00,0.980000,0.901000,-0.15490,68.19200000
HIP 29442 d,HD 42813,0.0673000000,1.53800000,5.14000000,11.000000,,203.0000,920.00,5289.00,0.980000,0.901000,-0.15490,68.19200000
HIP 34222 b,HIP 34222,0.4920000000,13.90000000,263.79757781,0.540000,0.305000,,,4050.00,0.618600,0.620000,-1.03267,22.83860000
HIP 35173 b,HIP 35173,0.2170000000,3.61000000,12.70000000,1.480000,0.160000,,,4881.00,0.773404,0.790000,-0.51439,33.15620000
HIP 35965 b,HIP 35965,15.8980000000,12.60000000,2589.98368864,7.110000,0.138000,,,4836.00,0.697551,0.780000,-0.62021,50.16770000
HIP 38594 b,HIP 38594,0.2560000000,2.77000000,8.10000000,2.090000,0.170000,,,4086.30,0.626646,0.610000,-1.06243,17.78860000
HIP 38594 c,HIP 38594,3.8050000000,7.94000000,48.40000000,0.531000,0.160000,,,4086.30,0.626646,0.610000,-1.06243,17.78860000
HIP 39017 b,HIP 39017,22.1000000000,12.00000000,7500.75040520,23.900000,0.550000,,,7201.00,1.519870,1.520000,0.74788,66.32170000
HIP 41378 b,HIP 41378,,2.44317000,6.54000000,2.460000,,115.2060,912.00,6226.00,1.343000,1.168000,0.39646,106.28900000
HIP 41378 c,HIP 41378,,2.56000000,7.08000000,2.320000,,55.6175,696.50,6226.00,1.343000,1.168000,0.39646,106.28900000
HIP 41378 d,HIP 41378,,3.96000000,14.90000000,1.320000,0.000000,,,6226.00,1.343000,1.168000,0.39646,106.28900000
HIP 41378 e,HIP 41378,,5.51000000,26.00000000,0.854000,,,,6226.00,1.343000,1.168000,0.39646,106.28900000
HIP 41378 f,HIP 41378,,10.20000000,74.00000000,0.383000,,,,6226.00,1.343000,1.168000,0.39646,106.28900000
HIP 4845 b,HIP 4845,0.1760000000,3.89000000,14.40000000,1.340000,0.250000,,,4010.00,0.603999,0.620000,-1.03390,21.09740000
HIP 48714 b,HIP 48714,0.1120000000,5.11000000,22.90000000,0.943000,0.500000,,,4015.50,0.595456,0.580000,-1.15565,10.52980000
HIP 5158 b,HIP 5158,0.8900000000,13.60000000,451.00000000,0.985000,0.520000,,,4962.00,0.750000,0.780000,-0.95861,51.60260000
HIP 5158 c,HIP 5158,7.7000000000,12.20000000,4780.16320000,14.500000,0.140000,,,4813.00,0.754089,0.780000,-0.56080,51.60260000
HIP 54373 b,HIP 54373,0.0630000000,2.87000000,8.62000000,2.000000,0.200000,,,4021.00,0.564998,0.570000,-1.22239,18.71680000
HIP 54373 c,HIP 54373,0.0990000000,3.57000000,12.44000000,1.500000,0.200000,,,4021.00,0.564998,0.570000,-1.22239,18.71680000
HIP 54597 b,HIP 54597,4.0000000000,13.30000000,762.78817680,1.780000,0.030000,0.0143,,4799.00,0.660000,0.800000,-0.68194,39.74290000
HIP 55507 b,HIP 55507,5.0620000000,12.60000000,2585.53409095,7.100000,0.362000,,,4171.00,0.723643,0.650000,-0.84530,25.48930000
HIP 56640 b,HIP 56640,4.5500000000,12.70000000,2151.69831539,5.770000,0.118000,,,4769.00,4.930000,1.750000,1.04999,122.32400000
HIP 57274 b,HIP 57274,0.0700000000,2.40000000,6.35660000,2.530000,0.190000,,,4510.00,0.780000,0.290000,0.19000,25.86180000
HIP 57274 c,HIP 57274,0.1780000000,14.20000000,130.00000000,0.249000,0.050000,,,4640.00,0.680000,0.730000,0.19000,25.86180000
HIP 57274 d,HIP 57274,1.0100000000,14.20000000,167.40000000,0.321000,0.270000,,,4640.00,0.680000,0.730000,0.19000,25.86180000
HIP 5763 b,HIP 5763,0.1700000000,14.20000000,162.09248757,0.311000,0.054000,,,4352.00,0.750378,0.720000,-0.73999,31.90430000
HIP 63242 b,HIP 63242,0.5650000000,12.50000000,2917.56000000,8.210000,0.230000,,,4830.00,10.275655,1.540000,1.63000,156.45600000
HIP 65 A b,HIP 65 A,0.0178200000,22.75427000,1021.18779000,0.480000,0.000000,661.0000,1411.00,4590.00,0.724200,0.781000,-0.67799,61.78560000
HIP 65407 b,HIP 65407,0.1770000000,14.30000000,136.03124000,0.256000,0.140000,,,5460.00,0.952252,0.930000,-0.18603,61.78040000
HIP 65407 c,HIP 65407,0.3160000000,13.90000000,249.17872000,0.510000,0.120000,,,5460.00,0.952252,0.930000,-0.18603,61.78040000
HIP 65426 b,HIP 65426,92.0000000000,16.81350000,2860.47000000,3.310000,,,1500.00,8840.00,1.770000,1.960000,1.26895,108.87500000
HIP 65891 b,HIP 65891,2.7940000000,12.80000000,1871.37366042,4.900000,0.128000,,,5000.00,8.930000,2.490000,1.65000,150.29200000
HIP 66074 b,HIP 66074,0.7990000000,12.90000000,1589.14203500,4.070000,0.948000,,,4300.00,0.690000,0.705000,-0.81816,35.44380000
HIP 67522 b,HIP 67522,0.0748000000,9.98720180,71.40000000,0.394000,0.064000,341.0878,1175.00,5675.00,1.380000,1.220000,0.24304,127.28000000
HIP 67522 c,HIP 67522,0.1228000000,7.93595834,48.30000000,0.531000,0.077000,,917.00,5675.00,1.380000,1.220000,0.24304,127.28000000
HIP 67537 b,HIP 67537,4.8070000000,12.30000000,4309.11754211,12.700000,0.586000,,,4985.00,8.690000,2.316000,1.61669,116.04600000
HIP 67851 b,HIP 67851,0.4200000000,13.70000000,365.50266805,0.781000,0.130000,,,4840.00,5.450000,1.280000,1.16673,64.11810000
HIP 67851 c,HIP 67851,4.5500000000,12.70000000,2204.77565936,5.910000,0.300000,,,4840.00,5.450000,1.280000,1.16673,64.11810000
HIP 70849 b,HIP 70849,3.9900000000,12.90000000,1430.22783150,3.660000,0.650000,,,4105.00,0.633112,0.650000,-1.04817,24.05720000
HIP 71135 b,HIP 71135,0.3350000000,4.55000000,18.80000000,1.100000,0.210000,,,4146.00,0.681296,0.660000,-0.90800,32.33110000
HIP 74890 b,HIP 74890,2.1000000000,13.30000000,762.79200000,1.780000,0.070000,,,4850.00,5.770000,1.740000,1.21484,78.65620000
HIP 75092 b,HIP 75092,2.0200000000,13.50000000,568.91284853,1.270000,0.420000,,,4891.00,4.530000,1.280000,1.01995,81.66960000
HIP 77900 b,HIP 77900,3319.0000000000,12.10000000,6674.39654700,20.700000,,,2507.00,13646.00,,,,150.86200000
HIP 78530 b,HIP 78530,740.0000000000,12.00000000,7300.00000000,23.200000,,,2700.00,10500.00,2.108760,2.500000,1.36840,136.75900000
HIP 79098 AB b,HIP 79098 AB,345.0000000000,12.10000000,6515.51500000,20.200000,,,2450.00,9193.75,,3.750000,,145.79800000
HIP 79431 b,HIP 79431,0.3600000000,13.40000000,667.41500000,1.520000,0.290000,,,3191.00,0.478625,0.490000,-1.54921,14.53240000
HIP 81208 C b,HIP 81208 C,23.0400000000,12.30000000,4703.86042360,13.900000,,,2050.00,,,0.135000,,147.53300000
HIP 8152 b,HIP 8152,0.0930000000,2.53625843,8.90000000,2.970000,0.000000,88.9000,794.96,5618.00,0.960300,0.937300,-0.08040,101.69400000
HIP 8152 c,HIP 8152,0.1390000000,2.52442508,10.70000000,3.630000,0.200000,39.9000,650.68,5618.00,0.960300,0.937300,-0.08040,101.69400000
HIP 8541 b,HIP 8541,3.7290000000,12.60000000,2451.72833160,6.730000,0.360000,,,4670.00,7.830000,2.009000,1.40483,155.12100000
HIP 86221 b,HIP 86221,0.0310000000,14.00000000,225.65816897,0.452000,0.086000,,,,,0.790000,,29.48980000
HIP 90988 b,HIP 90988,1.3600000000,13.40000000,668.07531151,1.530000,0.081000,,,4883.00,3.940000,1.613000,0.88986,94.03490000
HIP 91258 b,HIP 91258,0.0600000000,13.70000000,346.43470000,0.740000,0.020000,,,5519.00,0.890000,0.970000,-0.22200,45.88460000
HIP 94235 b,HIP 94235,0.0787000000,3.00000000,379.00000000,,0.320000,219.2841,1060.00,5991.00,1.080000,1.094000,0.13759,58.51460000
HIP 948 b,HIP 948,15.0370000000,12.10000000,6547.26518420,20.300000,0.230000,,,4497.00,0.688488,0.710000,-0.75782,34.85230000
HIP 9618 b,HIP 9618,0.1450000000,3.82838127,8.30000000,0.810000,0.000000,40.3000,640.88,5649.00,0.959300,0.942000,-0.07160,67.54780000
HIP 9618 c,HIP 9618,0.2690000000,3.42855926,7.00000000,1.000000,0.000000,11.7000,470.31,5649.00,0.959300,0.942000,-0.07160,67.54780000
HIP 97166 b,HIP 97166,0.0910000000,2.48013380,19.10000000,6.860000,0.290000,9.0686,701.66,5216.00,0.841800,0.934200,-0.32514,65.95010000
HIP 97166 c,HIP 97166,0.1240000000,2.75000000,8.00000000,2.110000,0.000000,,642.00,5216.00,0.841800,0.934200,-0.32514,65.95010000
HIP 97233 b,HIP 97233,2.4910000000,12.10000000,6098.17364511,18.900000,0.630000,,,5020.00,5.340000,1.810000,1.20400,102.27500000
HIP 99770 b,HIP 99770,16.9000000000,12.20000000,5117.03735270,15.500000,0.250000,,,8000.00,1.939860,1.850000,1.14176,40.07650000
HN Lib b,HN Lib,0.1417000000,2.20000000,5.46000000,2.820000,0.079000,0.5030,234.40,3347.00,0.299000,0.291000,-1.99542,6.24442000
HN Peg b,HN Peg,773.0000000000,11.77680000,6991.57000000,23.500000,,,,6186.00,1.006954,1.080000,0.06024,18.11860000
HR 2562 b,HR 2562,27.0000000000,12.44199000,4195.33497240,12.000000,,,1255.00,6597.00,1.334000,1.368000,0.53147,34.00710000
HR 5183 b,HR 5183,18.0000000000,13.10000000,1052.01202717,2.570000,0.840000,,171.00,5794.00,1.530000,1.070000,0.39748,31.46070000
HR 810 b,HR 810,0.9200000000,12.70000000,1970.53612340,5.290000,0.140000,,,6167.00,1.130000,1.340000,0.25309,17.31810000
HR 858 b,HR 858,0.0488800000,2.00400000,3.55000000,2.440000,0.000000,989.7000,1552.00,6354.00,1.258000,1.204000,0.36361,31.96400000
HR 858 c,HR 858,0.0687000000,1.97900000,3.80000000,2.900000,0.000000,512.0000,1309.00,6354.00,1.258000,1.204000,0.36361,31.96400000
HR 858 d,HR 858,0.1046000000,2.00100000,7.10000000,4.900000,0.000000,217.0000,1061.00,6354.00,1.258000,1.204000,0.36361,31.96400000
HR 8799 b,HR 8799,68.0000000000,13.00000000,2000.00000000,5.000000,,,1200.00,7204.58,1.493380,1.500000,0.69197,41.24410000
HR 8799 c,HR 8799,38.0000000000,13.00000000,3000.00000000,7.500000,0.500000,,1200.00,7204.58,1.493380,1.500000,0.69197,41.24410000
HR 8799 d,HR 8799,24.0000000000,13.00000000,3000.00000000,7.500000,0.600000,,1300.00,7204.58,1.493380,1.500000,0.69197,41.24410000
HR 8799 e,HR 8799,16.4000000000,13.11453000,3178.30000000,7.740000,0.150000,,1150.00,7400.00,1.493380,1.510000,0.73347,41.24410000
HS Psc b,HS Psc,0.0435000000,13.60000000,464.02947422,1.010000,0.270000,,,4203.00,0.650000,0.690000,-0.91364,37.66040000
HU Aqr AB b,HU Aqr,3.6000000000,12.80000000,1875.19700000,4.910000,0.000000,,,5952.00,,0.880000,,192.19807871
HU Aqr AB c,HU Aqr,5.4000000000,12.90000000,1430.23500000,3.660000,0.510000,,,5952.00,,0.880000,,192.19807871
IC 4651 9122 b,IC 4651 9122,2.0380000000,12.70000000,2002.32900000,5.370000,0.180000,,,4740.10,10.267424,2.100000,1.63590,859.32400000
